"","fama_macbeth_uni.MAX","fama_macbeth_uni.Size","fama_macbeth_uni.BM","fama_macbeth_uni.Momentum","fama_macbeth_uni.Rev","fama_macbeth_uni.CP","fama_macbeth_uni.SSKEW","fama_macbeth_uni.ISKEW","fama_macbeth_uni.ILLIQ","fama_macbeth_uni.IV"
"slope","-0.11972 *","0.00033","0.00862","-0.01181","0.00852","-0.00026 ***","0.00963","0.0014","-2092.07065","-0.21474 ***"
"p-value","( 0.05485 )","( 0.86453 )","( 0.45747 )","( 0.14827 )","( 0.66486 )","( 0.00238 )","( 0.82755 )","( 0.62812 )","( 0.61528 )","( 4e-05 )"
