"","max4.EW","max4.L.MAX","max4.M.MAX","max4.H.MAX","max4.HMAX.LMAX","max4.VW","max4.L.MAX.1","max4.M.MAX.1","max4.H.MAX.1","max4.HMAX.LMAX.1"
"1","Raw","0.001","0.001","0.001","0.000","Raw","0.023 *","0.017","0.016","-0.007"
"2","","( 0.504 )","( 0.402 )","( 0.516 )","( 0.637 )","","( 0.081 )","( 0.285 )","( 0.27 )","( 0.413 )"
"3","FF-3","0.001","0.001","0.001","0.001","FF-3","0.025 ***","0.016 **","0.018 **","-0.007"
"4","","( 0.514 )","( 0.411 )","( 0.445 )","( 0.576 )","","( 0.002 )","( 0.031 )","( 0.019 )","( 0.615 )"
