"","max5.EW","max5.L.MAX","max5.M.MAX","max5.H.MAX","max5.HMAX.LMAX","max5.VW","max5.L.MAX.1","max5.M.MAX.1","max5.H.MAX.1","max5.HMAX.LMAX.1"
"1","Raw","0.001","0.001","0.001","0.000","Raw","0.023 *","0.017","0.016","-0.007"
"2","","( 0.515 )","( 0.372 )","( 0.544 )","( 0.707 )","","( 0.08 )","( 0.201 )","( 0.235 )","( 0.423 )"
"3","FF-3","0.001","0.001","0.001","0.001","FF-3","0.025 ***","0.016 **","0.018 **","-0.007"
"4","","( 0.542 )","( 0.372 )","( 0.479 )","( 0.589 )","","( 0.003 )","( 0.039 )","( 0.018 )","( 0.664 )"
