"","max2.EW","max2.L.MAX","max2.M.MAX","max2.H.MAX","max2.HMAX.LMAX","max2.VW","max2.L.MAX.1","max2.M.MAX.1","max2.H.MAX.1","max2.HMAX.LMAX.1"
"1","Raw","0.001","0.001","0.001","0.000","Raw","0.023 *","0.017","0.016","-0.007"
"2","","( 0.451 )","( 0.368 )","( 0.584 )","( 0.9 )","","( 0.081 )","( 0.23 )","( 0.229 )","( 0.325 )"
"3","FF-3","0.001","0.001","0.001","0.000","FF-3","0.025 ***","0.016 **","0.018 **","-0.007"
"4","","( 0.468 )","( 0.387 )","( 0.507 )","( 0.753 )","","( 0.01 )","( 0.048 )","( 0.031 )","( 0.555 )"
