"","yearmon","dates","firms","MV","BM","prices","Vol","years","RF","RF_m"
"1",Jun 1985,1985-06-03,"DONG.A.SOCIO.HOLDINGS",24713.04,1.52,100.12,6.3,"1984-1985",0,0
"2",Jun 1985,1985-06-03,"DONG.WHA.PHARM.",11183.39,1.27,110.68,8.8,"1984-1985",0,0
"3",Jun 1985,1985-06-03,"KIA.MOTORS",149819.9,0.94,105.42,1.1,"1984-1985",0,0
"4",Jun 1985,1985-06-03,"SK.NETWORKS",67910.31,0.67,216,1.7,"1984-1985",0,0
"5",Jun 1985,1985-06-04,"DONG.A.SOCIO.HOLDINGS",24974.4,1.49,101.18,7.9,"1984-1985",0,0
"6",Jun 1985,1985-06-04,"DONG.WHA.PHARM.",11183.39,1.27,110.68,19.8,"1984-1985",0,0
"7",Jun 1985,1985-06-04,"SK.NETWORKS",66652.75,0.68,212,3,"1984-1985",0,0
"8",Jun 1985,1985-06-05,"DONG.A.SOCIO.HOLDINGS",24945.36,1.49,101.06,11.3,"1984-1985",0,0
"9",Jun 1985,1985-06-05,"DONG.WHA.PHARM.",11183.39,1.27,110.68,16.9,"1984-1985",0,0
"10",Jun 1985,1985-06-05,"KIA.MOTORS",148279.9,0.95,104.33,1.8,"1984-1985",0,0
"11",Jun 1985,1985-06-05,"SK.NETWORKS",66967.13,0.68,213,4.5,"1984-1985",0,0
"12",Jun 1985,1985-06-07,"DONG.A.SOCIO.HOLDINGS",25032.48,1.49,101.41,17.2,"1984-1985",0,0
"13",Jun 1985,1985-06-07,"KIA.MOTORS",149159.9,0.94,104.95,1.9,"1984-1985",0,0
"14",Jun 1985,1985-06-07,"SK.NETWORKS",66652.75,0.68,212,2.2,"1984-1985",0,0
"15",Jun 1985,1985-06-07,"TONGYANG",32232,2.13,73.91,1.9,"1984-1985",0,0
"16",Jun 1985,1985-06-10,"DONG.A.SOCIO.HOLDINGS",25003.44,1.49,101.29,20.4,"1984-1985",0,0
"17",Jun 1985,1985-06-10,"DONG.WHA.PHARM.",11271.69,1.27,111.55,3.5,"1984-1985",0,0
"18",Jun 1985,1985-06-10,"KIA.MOTORS",150259.9,0.94,105.73,2.2,"1984-1985",0,0
"19",Jun 1985,1985-06-10,"SK.NETWORKS",67281.56,0.67,214,3,"1984-1985",0,0
"20",Jun 1985,1985-06-10,"TONGYANG",32295.2,2.13,74.06,1,"1984-1985",0,0
"21",Jun 1985,1985-06-11,"DONG.A.SOCIO.HOLDINGS",25032.48,1.49,101.41,14.5,"1984-1985",0,0
"22",Jun 1985,1985-06-11,"DONG.WHA.PHARM.",11281.5,1.27,111.65,29.2,"1984-1985",0,0
"23",Jun 1985,1985-06-11,"KIA.MOTORS",159279.9,0.88,112.07,7.8,"1984-1985",0,0
"24",Jun 1985,1985-06-11,"SK.NETWORKS",70739.94,0.64,225,7.6,"1984-1985",0,0
"25",Jun 1985,1985-06-11,"TONGYANG",33180,2.08,76.09,1.4,"1984-1985",0,0
"26",Jun 1985,1985-06-12,"DONG.A.SOCIO.HOLDINGS",25351.92,1.47,102.71,16,"1984-1985",0,0
"27",Jun 1985,1985-06-12,"KIA.MOTORS",163679.9,0.86,115.17,22,"1984-1985",0,0
"28",Jun 1985,1985-06-12,"SK.NETWORKS",70111.19,0.65,223,3.7,"1984-1985",0,0
"29",Jun 1985,1985-06-12,"TONGYANG",33938.4,2.04,77.83,9.4,"1984-1985",0,0
"30",Jun 1985,1985-06-13,"DONG.A.SOCIO.HOLDINGS",25003.44,1.49,101.29,8,"1984-1985",0,0
"31",Jun 1985,1985-06-13,"DONG.WHA.PHARM.",11281.5,1.27,111.65,29.1,"1984-1985",0,0
"32",Jun 1985,1985-06-13,"KIA.MOTORS",163019.9,0.87,114.71,11.2,"1984-1985",0,0
"33",Jun 1985,1985-06-13,"SK.NETWORKS",69733.88,0.65,221.8,2.4,"1984-1985",0,0
"34",Jun 1985,1985-06-13,"TONGYANG",33622.4,2.04,77.1,2.7,"1984-1985",0,0
"35",Jun 1985,1985-06-14,"DONG.A.SOCIO.HOLDINGS",24829.2,1.49,100.59,11.7,"1984-1985",0,0
"36",Jun 1985,1985-06-14,"DONG.WHA.PHARM.",11330.55,1.25,112.14,35.8,"1984-1985",0,0
"37",Jun 1985,1985-06-14,"KIA.MOTORS",171599.9,0.82,120.74,22.4,"1984-1985",0,0
"38",Jun 1985,1985-06-14,"SK.NETWORKS",70111.19,0.65,223,5.7,"1984-1985",0,0
"39",Jun 1985,1985-06-14,"TONGYANG",34317.6,2,78.7,4.7,"1984-1985",0,0
"40",Jun 1985,1985-06-17,"DONG.A.SOCIO.HOLDINGS",24945.36,1.49,101.06,17.7,"1984-1985",0,0
"41",Jun 1985,1985-06-17,"DONG.WHA.PHARM.",11350.17,1.25,112.33,13.6,"1984-1985",0,0
"42",Jun 1985,1985-06-17,"KIA.MOTORS",164999.9,0.85,116.1,16.8,"1984-1985",0,0
"43",Jun 1985,1985-06-17,"SK.NETWORKS",72311.94,0.62,230,8.4,"1984-1985",0,0
"44",Jun 1985,1985-06-17,"TONGYANG",35265.6,1.96,80.87,10,"1984-1985",0,0
"45",Jun 1985,1985-06-18,"DONG.A.SOCIO.HOLDINGS",24800.16,1.49,100.47,7.7,"1984-1985",0,0
"46",Jun 1985,1985-06-18,"KIA.MOTORS",162799.9,0.87,114.55,11,"1984-1985",0,0
"47",Jun 1985,1985-06-18,"SK.NETWORKS",71871.81,0.63,228.6,2.2,"1984-1985",0,0
"48",Jun 1985,1985-06-18,"TONGYANG",34444,2,78.99,8.8,"1984-1985",0,0
"49",Jun 1985,1985-06-19,"DONG.A.SOCIO.HOLDINGS",24829.2,1.49,100.59,4.7,"1984-1985",0,0
"50",Jun 1985,1985-06-19,"DONG.WHA.PHARM.",11291.3,1.25,111.75,2.9,"1984-1985",0,0
"51",Jun 1985,1985-06-19,"KIA.MOTORS",163239.9,0.86,114.86,6.8,"1984-1985",0,0
"52",Jun 1985,1985-06-19,"SK.NETWORKS",70111.19,0.65,223,1.2,"1984-1985",0,0
"53",Jun 1985,1985-06-19,"TONGYANG",34444,2,78.99,4.2,"1984-1985",0,0
"54",Jun 1985,1985-06-20,"DONG.A.SOCIO.HOLDINGS",24422.64,1.52,98.94,4.3,"1984-1985",0,0
"55",Jun 1985,1985-06-20,"KIA.MOTORS",161699.9,0.88,113.78,10.6,"1984-1985",0,0
"56",Jun 1985,1985-06-20,"SK.NETWORKS",68853.56,0.66,219,2,"1984-1985",0,0
"57",Jun 1985,1985-06-20,"TONGYANG",34128,2.04,78.26,3.9,"1984-1985",0,0
"58",Jun 1985,1985-06-21,"DONG.A.SOCIO.HOLDINGS",24567.84,1.52,99.53,5.2,"1984-1985",0,0
"59",Jun 1985,1985-06-21,"DONG.WHA.PHARM.",11281.5,1.27,111.65,2.3,"1984-1985",0,0
"60",Jun 1985,1985-06-21,"KIA.MOTORS",162799.9,0.87,114.55,7.4,"1984-1985",0,0
"61",Jun 1985,1985-06-21,"SK.NETWORKS",68790.63,0.66,218.8,2.5,"1984-1985",0,0
"62",Jun 1985,1985-06-21,"TONGYANG",34128,2.04,78.26,2.3,"1984-1985",0,0
"63",Jun 1985,1985-06-24,"DONG.A.SOCIO.HOLDINGS",24713.04,1.52,100.12,2.5,"1984-1985",0,0
"64",Jun 1985,1985-06-24,"KIA.MOTORS",162799.9,0.87,114.55,3.5,"1984-1985",0,0
"65",Jun 1985,1985-06-24,"SK.NETWORKS",68036.13,0.67,216.4,1.2,"1984-1985",0,0
"66",Jun 1985,1985-06-24,"TONGYANG",33496,2.08,76.81,1.8,"1984-1985",0,0
"67",Jun 1985,1985-06-25,"DONG.A.SOCIO.HOLDINGS",24771.12,1.49,100.35,12.3,"1984-1985",0,0
"68",Jun 1985,1985-06-25,"KIA.MOTORS",163899.9,0.86,115.33,2.2,"1984-1985",0,0
"69",Jun 1985,1985-06-25,"SK.NETWORKS",67910.31,0.67,216,4.2,"1984-1985",0,0
"70",Jun 1985,1985-06-25,"TONGYANG",33622.4,2.04,77.1,1.3,"1984-1985",0,0
"71",Jun 1985,1985-06-26,"DONG.A.SOCIO.HOLDINGS",25119.6,1.47,101.76,35.5,"1984-1985",0,0
"72",Jun 1985,1985-06-26,"DONG.WHA.PHARM.",11232.45,1.27,111.17,11.6,"1984-1985",0,0
"73",Jun 1985,1985-06-26,"KIA.MOTORS",164339.9,0.86,115.63,7.2,"1984-1985",0,0
"74",Jun 1985,1985-06-26,"SK.NETWORKS",67407.31,0.67,214.4,2.6,"1984-1985",0,0
"75",Jun 1985,1985-06-26,"TONGYANG",33496,2.08,76.81,1.2,"1984-1985",0,0
"76",Jun 1985,1985-06-27,"DONG.A.SOCIO.HOLDINGS",25119.6,1.47,101.76,9.3,"1984-1985",0,0
"77",Jun 1985,1985-06-27,"KIA.MOTORS",165879.9,0.85,116.72,9.5,"1984-1985",0,0
"78",Jun 1985,1985-06-27,"SK.NETWORKS",67973.19,0.67,216.2,5.4,"1984-1985",0,0
"79",Jun 1985,1985-06-27,"TONGYANG",33496,2.08,76.81,3.7,"1984-1985",0,0
"80",Jun 1985,1985-06-28,"DONG.A.SOCIO.HOLDINGS",24974.4,1.49,101.18,9.8,"1984-1985",0,0
"81",Jun 1985,1985-06-28,"DONG.WHA.PHARM.",11085.3,1.28,109.71,1.2,"1984-1985",0,0
"82",Jun 1985,1985-06-28,"KIA.MOTORS",165659.9,0.85,116.56,4.2,"1984-1985",0,0
"83",Jun 1985,1985-06-28,"SK.NETWORKS",67218.69,0.68,213.8,4.6,"1984-1985",0,0
"84",Jun 1985,1985-06-28,"TONGYANG",33496,2.08,76.81,6,"1984-1985",0,0
"85",Jul 1985,1985-07-01,"DONG.A.SOCIO.HOLDINGS",24742.08,1.49,100.24,3.7,"1985-1986",0,0
"86",Jul 1985,1985-07-01,"KIA.MOTORS",163679.9,0.86,115.17,4.1,"1985-1986",0,0
"87",Jul 1985,1985-07-01,"SK.NETWORKS",66401.25,0.68,211.2,1.9,"1985-1986",0,0
"88",Jul 1985,1985-07-01,"TONGYANG",33496,2.08,76.81,2.2,"1985-1986",0,0
"89",Jul 1985,1985-07-02,"DONG.A.SOCIO.HOLDINGS",24829.2,1.49,100.59,7.2,"1985-1986",0,0
"90",Jul 1985,1985-07-02,"KIA.MOTORS",167419.9,0.84,117.8,17.3,"1985-1986",0,0
"91",Jul 1985,1985-07-02,"SK.NETWORKS",64326.2,0.7,204.6,4.1,"1985-1986",0,0
"92",Jul 1985,1985-07-02,"TONGYANG",33559.2,2.04,76.96,2.1,"1985-1986",0,0
"93",Jul 1985,1985-07-03,"DONG.A.SOCIO.HOLDINGS",24858.24,1.49,100.71,9.1,"1985-1986",0,0
"94",Jul 1985,1985-07-03,"KIA.MOTORS",162799.9,0.87,114.55,3.6,"1985-1986",0,0
"95",Jul 1985,1985-07-03,"SK.NETWORKS",62314.04,0.72,198.2,5.5,"1985-1986",0,0
"96",Jul 1985,1985-07-03,"TONGYANG",35139.2,1.96,80.58,16,"1985-1986",0,0
"97",Jul 1985,1985-07-04,"DONG.A.SOCIO.HOLDINGS",24713.04,1.52,100.12,3.5,"1985-1986",0,0
"98",Jul 1985,1985-07-04,"KIA.MOTORS",158619.9,0.89,111.61,3.1,"1985-1986",0,0
"99",Jul 1985,1985-07-04,"SK.NETWORKS",63760.3,0.71,202.8,7.2,"1985-1986",0,0
"100",Jul 1985,1985-07-04,"TONGYANG",34570.4,2,79.28,3.6,"1985-1986",0,0
"101",Jul 1985,1985-07-05,"DONG.A.SOCIO.HOLDINGS",24684,1.52,100,7.9,"1985-1986",0,0
"102",Jul 1985,1985-07-05,"KIA.MOTORS",157299.9,0.9,110.68,1.8,"1985-1986",0,0
"103",Jul 1985,1985-07-05,"SK.NETWORKS",63760.3,0.71,202.8,5.9,"1985-1986",0,0
"104",Jul 1985,1985-07-05,"TONGYANG",34128,2.04,78.26,2.5,"1985-1986",0,0
"105",Jul 1985,1985-07-08,"DONG.WHA.PHARM.",10791,1.32,106.8,30.1,"1985-1986",0,0
"106",Jul 1985,1985-07-08,"KIA.MOTORS",155979.9,0.91,109.75,2.8,"1985-1986",0,0
"107",Jul 1985,1985-07-08,"SK.NETWORKS",63194.4,0.72,201,2.7,"1985-1986",0,0
"108",Jul 1985,1985-07-09,"DONG.A.SOCIO.HOLDINGS",24422.64,1.52,98.94,4.3,"1985-1986",0,0
"109",Jul 1985,1985-07-09,"KIA.MOTORS",157299.9,0.9,110.68,1.8,"1985-1986",0,0
"110",Jul 1985,1985-07-09,"SK.NETWORKS",63508.77,0.71,202,1.9,"1985-1986",0,0
"111",Jul 1985,1985-07-09,"TONGYANG",33875.2,2.04,77.68,1.2,"1985-1986",0,0
"112",Jul 1985,1985-07-10,"DONG.A.SOCIO.HOLDINGS",24422.64,1.52,98.94,6.2,"1985-1986",0,0
"113",Jul 1985,1985-07-10,"KIA.MOTORS",156639.9,0.9,110.22,1.2,"1985-1986",0,0
"114",Jul 1985,1985-07-10,"SK.NETWORKS",63194.4,0.72,201,4,"1985-1986",0,0
"115",Jul 1985,1985-07-11,"DONG.A.SOCIO.HOLDINGS",24393.6,1.52,98.82,14,"1985-1986",0,0
"116",Jul 1985,1985-07-11,"KIA.MOTORS",156419.9,0.9,110.06,2.8,"1985-1986",0,0
"117",Jul 1985,1985-07-11,"SK.NETWORKS",66652.75,0.68,212,5.9,"1985-1986",0,0
"118",Jul 1985,1985-07-11,"TONGYANG",33812,2.04,77.54,1.3,"1985-1986",0,0
"119",Jul 1985,1985-07-12,"DONG.A.SOCIO.HOLDINGS",24074.16,1.54,97.53,2,"1985-1986",0,0
"120",Jul 1985,1985-07-12,"KIA.MOTORS",157959.9,0.89,111.15,3.5,"1985-1986",0,0
"121",Jul 1985,1985-07-12,"SK.NETWORKS",67218.69,0.68,213.8,12.5,"1985-1986",0,0
"122",Jul 1985,1985-07-12,"TONGYANG",33496,2.08,76.81,1.3,"1985-1986",0,0
"123",Jul 1985,1985-07-15,"DONG.A.SOCIO.HOLDINGS",24190.32,1.54,98,1.7,"1985-1986",0,0
"124",Jul 1985,1985-07-15,"KIA.MOTORS",158399.9,0.89,111.46,1.7,"1985-1986",0,0
"125",Jul 1985,1985-07-15,"SK.NETWORKS",70551.31,0.64,224.4,15.2,"1985-1986",0,0
"126",Jul 1985,1985-07-15,"TONGYANG",33748.8,2.04,77.39,2,"1985-1986",0,0
"127",Jul 1985,1985-07-16,"DONG.A.SOCIO.HOLDINGS",24161.28,1.54,97.88,3,"1985-1986",0,0
"128",Jul 1985,1985-07-16,"KIA.MOTORS",157739.9,0.89,110.99,1.6,"1985-1986",0,0
"129",Jul 1985,1985-07-16,"SK.NETWORKS",69230.88,0.65,220.2,16.6,"1985-1986",0,0
"130",Jul 1985,1985-07-16,"TONGYANG",33496,2.08,76.81,1.2,"1985-1986",0,0
"131",Jul 1985,1985-07-18,"DONG.A.SOCIO.HOLDINGS",24277.44,1.54,98.35,2.9,"1985-1986",0,0
"132",Jul 1985,1985-07-18,"KIA.MOTORS",157299.9,0.9,110.68,2.9,"1985-1986",0,0
"133",Jul 1985,1985-07-18,"SK.NETWORKS",68790.63,0.66,218.8,6.8,"1985-1986",0,0
"134",Jul 1985,1985-07-18,"TONGYANG",33496,2.08,76.81,1.6,"1985-1986",0,0
"135",Jul 1985,1985-07-19,"KIA.MOTORS",158399.9,0.89,111.46,2.6,"1985-1986",0,0
"136",Jul 1985,1985-07-19,"SK.NETWORKS",70425.56,0.65,224,11.7,"1985-1986",0,0
"137",Jul 1985,1985-07-22,"DONG.A.SOCIO.HOLDINGS",24132.24,1.54,97.76,1.9,"1985-1986",0,0
"138",Jul 1985,1985-07-22,"KIA.MOTORS",158179.9,0.89,111.3,1.8,"1985-1986",0,0
"139",Jul 1985,1985-07-22,"SK.NETWORKS",70739.94,0.64,225,5.9,"1985-1986",0,0
"140",Jul 1985,1985-07-23,"DONG.A.SOCIO.HOLDINGS",24161.28,1.54,97.88,3.8,"1985-1986",0,0
"141",Jul 1985,1985-07-23,"DONG.WHA.PHARM.",10153.35,1.39,100.49,1.4,"1985-1986",0,0
"142",Jul 1985,1985-07-23,"KIA.MOTORS",159499.9,0.88,112.23,2.7,"1985-1986",0,0
"143",Jul 1985,1985-07-23,"SK.NETWORKS",70802.81,0.64,225.2,5.2,"1985-1986",0,0
"144",Jul 1985,1985-07-23,"TONGYANG",33369.6,2.08,76.52,2,"1985-1986",0,0
"145",Jul 1985,1985-07-24,"DONG.A.SOCIO.HOLDINGS",25235.76,1.47,102.24,1.5,"1985-1986",0,0
"146",Jul 1985,1985-07-24,"KIA.MOTORS",159939.9,0.88,112.54,4.9,"1985-1986",0,0
"147",Jul 1985,1985-07-24,"SK.NETWORKS",70865.75,0.64,225.4,4.5,"1985-1986",0,0
"148",Jul 1985,1985-07-24,"TONGYANG",33622.4,2.04,77.1,1.8,"1985-1986",0,0
"149",Jul 1985,1985-07-25,"DONG.A.SOCIO.HOLDINGS",24684,1.52,100,1.1,"1985-1986",0,0
"150",Jul 1985,1985-07-25,"DONG.WHA.PHARM.",10153.35,1.39,100.49,1.3,"1985-1986",0,0
"151",Jul 1985,1985-07-25,"KIA.MOTORS",159499.9,0.88,112.23,4.8,"1985-1986",0,0
"152",Jul 1985,1985-07-25,"SK.NETWORKS",70425.56,0.65,224,5.1,"1985-1986",0,0
"153",Jul 1985,1985-07-25,"TONGYANG",33812,2.04,77.54,1.4,"1985-1986",0,0
"154",Jul 1985,1985-07-26,"DONG.A.SOCIO.HOLDINGS",24509.76,1.52,99.29,1.2,"1985-1986",0,0
"155",Jul 1985,1985-07-26,"KIA.MOTORS",160599.9,0.88,113,6.6,"1985-1986",0,0
"156",Jul 1985,1985-07-26,"SK.NETWORKS",70174.06,0.65,223.2,5.5,"1985-1986",0,0
"157",Jul 1985,1985-07-29,"DONG.A.SOCIO.HOLDINGS",24509.76,1.52,99.29,7.3,"1985-1986",0,0
"158",Jul 1985,1985-07-29,"KIA.MOTORS",163899.9,0.86,115.33,8.1,"1985-1986",0,0
"159",Jul 1985,1985-07-29,"SK.NETWORKS",68350.5,0.66,217.4,2.6,"1985-1986",0,0
"160",Jul 1985,1985-07-30,"KIA.MOTORS",164999.9,0.85,116.1,15.1,"1985-1986",0,0
"161",Jul 1985,1985-07-30,"SK.NETWORKS",69167.94,0.65,220,5.2,"1985-1986",0,0
"162",Jul 1985,1985-07-30,"TONGYANG",33622.4,2.04,77.1,1,"1985-1986",0,0
"163",Jul 1985,1985-07-31,"DONG.A.SOCIO.HOLDINGS",24277.44,1.54,98.35,4,"1985-1986",0,0
"164",Jul 1985,1985-07-31,"KIA.MOTORS",164559.9,0.85,115.79,7.2,"1985-1986",0,0
"165",Jul 1985,1985-07-31,"SK.NETWORKS",73569.56,0.62,234,11.8,"1985-1986",0,0
"166",Jul 1985,1985-07-31,"TONGYANG",34128,2.04,78.26,3.5,"1985-1986",0,0
"167",Aug 1985,1985-08-01,"DONG.A.SOCIO.HOLDINGS",24480.72,1.52,99.18,31.7,"1985-1986",0,0
"168",Aug 1985,1985-08-01,"KIA.MOTORS",164779.9,0.85,115.94,6.5,"1985-1986",0,0
"169",Aug 1985,1985-08-01,"SK.NETWORKS",74827.13,0.61,238,13.9,"1985-1986",0,0
"170",Aug 1985,1985-08-01,"TONGYANG",34507.2,2,79.13,2.7,"1985-1986",0,0
"171",Aug 1985,1985-08-02,"KIA.MOTORS",171599.9,0.82,120.74,14.3,"1985-1986",0,0
"172",Aug 1985,1985-08-02,"SK.NETWORKS",72877.88,0.62,231.8,6.4,"1985-1986",0,0
"173",Aug 1985,1985-08-02,"TONGYANG",34760,2,79.71,4,"1985-1986",0,0
"174",Aug 1985,1985-08-05,"DONG.A.SOCIO.HOLDINGS",24509.76,1.52,99.29,1.1,"1985-1986",0,0
"175",Aug 1985,1985-08-05,"KIA.MOTORS",179079.9,0.79,126.01,26.8,"1985-1986",0,0
"176",Aug 1985,1985-08-05,"SK.NETWORKS",74764.25,0.61,237.8,5.1,"1985-1986",0,0
"177",Aug 1985,1985-08-05,"TONGYANG",35012.8,1.96,80.29,1.9,"1985-1986",0,0
"178",Aug 1985,1985-08-06,"DONG.A.SOCIO.HOLDINGS",24509.76,1.52,99.29,2.8,"1985-1986",0,0
"179",Aug 1985,1985-08-06,"KIA.MOTORS",175339.9,0.81,123.37,18.5,"1985-1986",0,0
"180",Aug 1985,1985-08-06,"SK.NETWORKS",74135.5,0.61,235.8,5.3,"1985-1986",0,0
"181",Aug 1985,1985-08-07,"KIA.MOTORS",180399.9,0.78,126.93,32.2,"1985-1986",0,0
"182",Aug 1985,1985-08-07,"SK.NETWORKS",75644.56,0.6,240.6,11.5,"1985-1986",0,0
"183",Aug 1985,1985-08-07,"TONGYANG",34191.2,2.04,78.41,1.8,"1985-1986",0,0
"184",Aug 1985,1985-08-08,"DONG.A.SOCIO.HOLDINGS",24132.24,1.54,97.76,3.2,"1985-1986",0,0
"185",Aug 1985,1985-08-08,"KIA.MOTORS",179079.9,0.79,126.01,34.7,"1985-1986",0,0
"186",Aug 1985,1985-08-08,"SK.NETWORKS",76084.75,0.6,242,12,"1985-1986",0,0
"187",Aug 1985,1985-08-08,"TONGYANG",34191.2,2.04,78.41,1.1,"1985-1986",0,0
"188",Aug 1985,1985-08-09,"DONG.A.SOCIO.HOLDINGS",24103.2,1.54,97.65,5.2,"1985-1986",0,0
"189",Aug 1985,1985-08-09,"KIA.MOTORS",173359.9,0.81,121.98,20.2,"1985-1986",0,0
"190",Aug 1985,1985-08-09,"SK.NETWORKS",74638.5,0.61,237.4,6.6,"1985-1986",0,0
"191",Aug 1985,1985-08-12,"DONG.A.SOCIO.HOLDINGS",24103.2,1.54,97.65,9.6,"1985-1986",0,0
"192",Aug 1985,1985-08-12,"DONG.WHA.PHARM.",10153.35,1.39,100.49,8.5,"1985-1986",0,0
"193",Aug 1985,1985-08-12,"KIA.MOTORS",173799.9,0.81,122.29,7.4,"1985-1986",0,0
"194",Aug 1985,1985-08-12,"SK.NETWORKS",74827.13,0.61,238,4.1,"1985-1986",0,0
"195",Aug 1985,1985-08-12,"TONGYANG",33559.2,2.04,76.96,1,"1985-1986",0,0
"196",Aug 1985,1985-08-13,"DONG.A.SOCIO.HOLDINGS",23987.04,1.54,97.18,12.1,"1985-1986",0,0
"197",Aug 1985,1985-08-13,"KIA.MOTORS",173799.9,0.81,122.29,4.2,"1985-1986",0,0
"198",Aug 1985,1985-08-13,"SK.NETWORKS",74701.38,0.61,237.6,1.9,"1985-1986",0,0
"199",Aug 1985,1985-08-13,"TONGYANG",33559.2,2.04,76.96,1.1,"1985-1986",0,0
"200",Aug 1985,1985-08-14,"DONG.WHA.PHARM.",10133.73,1.41,100.29,2,"1985-1986",0,0
"201",Aug 1985,1985-08-14,"KIA.MOTORS",172699.9,0.82,121.52,9.3,"1985-1986",0,0
"202",Aug 1985,1985-08-14,"SK.NETWORKS",74827.13,0.61,238,10.5,"1985-1986",0,0
"203",Aug 1985,1985-08-14,"TONGYANG",33496,2.08,76.81,1.5,"1985-1986",0,0
"204",Aug 1985,1985-08-16,"DONG.A.SOCIO.HOLDINGS",24103.2,1.54,97.65,3,"1985-1986",0,0
"205",Aug 1985,1985-08-16,"KIA.MOTORS",172699.9,0.82,121.52,6.3,"1985-1986",0,0
"206",Aug 1985,1985-08-16,"SK.NETWORKS",74135.5,0.61,235.8,2.3,"1985-1986",0,0
"207",Aug 1985,1985-08-16,"TONGYANG",33496,2.08,76.81,1,"1985-1986",0,0
"208",Aug 1985,1985-08-19,"KIA.MOTORS",179519.9,0.79,126.32,16.1,"1985-1986",0,0
"209",Aug 1985,1985-08-19,"SK.NETWORKS",74638.5,0.61,237.4,3.6,"1985-1986",0,0
"210",Aug 1985,1985-08-20,"DONG.A.SOCIO.HOLDINGS",24045.12,1.54,97.41,2.4,"1985-1986",0,0
"211",Aug 1985,1985-08-20,"KIA.MOTORS",179959.9,0.79,126.63,17.5,"1985-1986",0,0
"212",Aug 1985,1985-08-20,"SK.NETWORKS",74009.69,0.61,235.4,3.1,"1985-1986",0,0
"213",Aug 1985,1985-08-20,"TONGYANG",33748.8,2.04,77.39,3.2,"1985-1986",0,0
"214",Aug 1985,1985-08-21,"DONG.WHA.PHARM.",10202.4,1.39,100.97,6.5,"1985-1986",0,0
"215",Aug 1985,1985-08-21,"KIA.MOTORS",177319.9,0.79,124.77,8.3,"1985-1986",0,0
"216",Aug 1985,1985-08-21,"SK.NETWORKS",73758.19,0.61,234.6,3,"1985-1986",0,0
"217",Aug 1985,1985-08-21,"TONGYANG",33496,2.08,76.81,4.8,"1985-1986",0,0
"218",Aug 1985,1985-08-22,"DONG.A.SOCIO.HOLDINGS",23870.88,1.56,96.71,1.8,"1985-1986",0,0
"219",Aug 1985,1985-08-22,"KIA.MOTORS",177099.9,0.8,124.61,7.9,"1985-1986",0,0
"220",Aug 1985,1985-08-22,"SK.NETWORKS",74827.13,0.61,238,5.7,"1985-1986",0,0
"221",Aug 1985,1985-08-22,"TONGYANG",33622.4,2.04,77.1,1.1,"1985-1986",0,0
"222",Aug 1985,1985-08-23,"DONG.A.SOCIO.HOLDINGS",23812.8,1.56,96.47,1.3,"1985-1986",0,0
"223",Aug 1985,1985-08-23,"KIA.MOTORS",176000,0.8,123.84,7,"1985-1986",0,0
"224",Aug 1985,1985-08-23,"SK.NETWORKS",74198.38,0.61,236,4.2,"1985-1986",0,0
"225",Aug 1985,1985-08-26,"DONG.A.SOCIO.HOLDINGS",24103.2,1.54,97.65,2.6,"1985-1986",0,0
"226",Aug 1985,1985-08-26,"KIA.MOTORS",181499.9,0.78,127.71,19,"1985-1986",0,0
"227",Aug 1985,1985-08-26,"SK.NETWORKS",72940.75,0.62,232,2.7,"1985-1986",0,0
"228",Aug 1985,1985-08-27,"KIA.MOTORS",180839.9,0.78,127.24,15.7,"1985-1986",0,0
"229",Aug 1985,1985-08-27,"SK.NETWORKS",72060.44,0.63,229.2,2.3,"1985-1986",0,0
"230",Aug 1985,1985-08-28,"DONG.A.SOCIO.HOLDINGS",23958,1.56,97.06,6.9,"1985-1986",0,0
"231",Aug 1985,1985-08-28,"DONG.WHA.PHARM.",10065.06,1.41,99.61,6.3,"1985-1986",0,0
"232",Aug 1985,1985-08-28,"KIA.MOTORS",179299.9,0.79,126.16,10.5,"1985-1986",0,0
"233",Aug 1985,1985-08-28,"SK.NETWORKS",70425.56,0.65,224,3.8,"1985-1986",0,0
"234",Aug 1985,1985-08-29,"DONG.A.SOCIO.HOLDINGS",23870.88,1.56,96.71,5.4,"1985-1986",0,0
"235",Aug 1985,1985-08-29,"KIA.MOTORS",178419.9,0.79,125.54,3.8,"1985-1986",0,0
"236",Aug 1985,1985-08-29,"SK.NETWORKS",70739.94,0.64,225,2.8,"1985-1986",0,0
"237",Aug 1985,1985-08-29,"TONGYANG",33622.4,2.04,77.1,1,"1985-1986",0,0
"238",Aug 1985,1985-08-30,"DONG.A.SOCIO.HOLDINGS",23958,1.56,97.06,3.8,"1985-1986",0,0
"239",Aug 1985,1985-08-30,"KIA.MOTORS",178199.9,0.79,125.39,5.8,"1985-1986",0,0
"240",Aug 1985,1985-08-30,"SK.NETWORKS",70111.19,0.65,223,1.8,"1985-1986",0,0
"241",Aug 1985,1985-08-30,"TONGYANG",33622.4,2.04,77.1,3,"1985-1986",0,0
"242",Sep 1985,1985-09-02,"DONG.A.SOCIO.HOLDINGS",24393.6,1.52,98.82,6.9,"1985-1986",0,0
"243",Sep 1985,1985-09-02,"KIA.MOTORS",177319.9,0.79,124.77,3.8,"1985-1986",0,0
"244",Sep 1985,1985-09-02,"SK.NETWORKS",70362.63,0.65,223.8,2.4,"1985-1986",0,0
